 ,Image Link,Design Name, ,SKU Code,,Size,UOM,QTY,CP,remarks,CP/QTY,Total CP,SP,Margin,New SKU Name,,Type,,Finish,Color,,Length,,
1,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/8A955DF5-6FBB-468F-A4B7-3CDD80CB40FA.jpg, Amber vows,Structures,ST0026,Rectangular Pole column (8-12) feet,,,5,,,,,,,,Structures,Pole Column,Custom Size,Rectangle,NA,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/8A955DF5-6FBB-468F-A4B7-3CDD80CB40FA.jpg,,Structures,,pole base 10ft,,,4,,,,,,,,Structures,Pole base,10 Feet,base,NA,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/8A955DF5-6FBB-468F-A4B7-3CDD80CB40FA.jpg,,Props&Accessorie,,Golden Metal Cone Standee ,,,4,,,,,,,,Props & accessories,Standee,Metal (generic),Gold,NA,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/8A955DF5-6FBB-468F-A4B7-3CDD80CB40FA.jpg,,Furniture,,Mandap Chair- 1 seater,,,6,,,,,,,,Furniture,chair,Antique,NA,1 seater,Cushion,NA,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/8A955DF5-6FBB-468F-A4B7-3CDD80CB40FA.jpg,,Lighting,,Fairy Light with Battery & Adapter,,,28,,,,,,,,Lighting,Fairy Light,NA,Standard Output,gold,NA,Fixed Light,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/8A955DF5-6FBB-468F-A4B7-3CDD80CB40FA.jpg,,Hardware,,Green Oasis Ball,,,5,,,,,,,,Hardware,Oasis Ball,Standard,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/8A955DF5-6FBB-468F-A4B7-3CDD80CB40FA.jpg,,Platform,,Platform 2 feet height,20x20,sft,400,,,,,,, ,Platform,20*20 feet,step,Carpet,skirting,,,,Platform-20*20 feet-step-Carpet-skirting-
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/8A955DF5-6FBB-468F-A4B7-3CDD80CB40FA.jpg,,Platform,,carpet,20x20,sft,400,,,,,,,,,,,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/8A955DF5-6FBB-468F-A4B7-3CDD80CB40FA.jpg,,Platform,,fabric skirting,2x60,sft,120,,,,,,,,,,,,,,,,
,https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/8A955DF5-6FBB-468F-A4B7-3CDD80CB40FA.jpg,,Props&Accessorie,,Havan Kund,,,1,,,,,,,,Props & accessories,Havan kund,Metal (generic),natural,NA,,,,
