URL,Response
https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/8A955DF5-6FBB-468F-A4B7-3CDD80CB40FA.jpg,"[
  {""Type"":""chiffon"",""Finish"":""plain"",""Color"":""peach"",""Length"":""70""},
  {""Type"":""crepe"",""Finish"":""pleatable"",""Color"":""white"",""Length"":""14""}
]"
https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/B0A21FBA-501C-4FC8-B3CF-02D4C811FFD4.jpg,"[
  {""Type"":""satin"",""Finish"":""plain"",""Color"":""red"",""Length"":""18""},
  {""Type"":""satin"",""Finish"":""plain"",""Color"":""yellow"",""Length"":""12""}
]"
https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/065b816d-40ce-4078-8259-cb9b33e93ce5/E7B88712-495D-4F0B-A723-8134484295BD.jpg,"[
  {""Type"":""chiffon"",""Finish"":""plain"",""Color"":""white"",""Length"":""20""}
]"
https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/aca3819b-93cc-4b36-beb6-bc63882f241f/EF315845-EDA4-4782-B118-55AA28492855.jpg,"[
  {""Type"":""chiffon"",""Finish"":""plain"",""Color"":""pink"",""Length"":""18""}
]"
https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/aca3819b-93cc-4b36-beb6-bc63882f241f/39E05EE0-6046-427A-92CC-5DEDC36CF090.jpg,"[
  {""Type"":""chiffon"",""Finish"":""plain"",""Color"":""white"",""Length"":""3""},
  {""Type"":""chiffon"",""Finish"":""plain"",""Color"":""peach"",""Length"":""3""},
  {""Type"":""chiffon"",""Finish"":""plain"",""Color"":""pink"",""Length"":""6""}
]"
https://imageswedding.theweddingcompany.com/bh_prod_bucket/weddings/ideabook/DECORATION/aca3819b-93cc-4b36-beb6-bc63882f241f/E53A51B3-AFF9-45FA-9DCB-0479986F54C6.jpg,"[
  {""Type"":""chiffon"",""Finish"":""plain"",""Color"":""white"",""Length"":""30""}
]"
https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/E357ED2D-D07E-4E4B-903B-4E0B2F699A39.jpeg,"[
  {""Type"":""chiffon"",""Finish"":""matte"",""Color"":""ivory"",""Length"":""50""}
]"
https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/C801C89E-60D3-4B07-872E-CAAD8C790A12.jpeg,"[
  {""Type"":""crepe"",""Finish"":""matte"",""Color"":""white"",""Length"":""8""}
]"
https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/0A1E604C-9CA1-4EED-9C68-1BA0DD7939E8.jpeg,"[
  {""Type"":""crepe"",""Finish"":""pleatable"",""Color"":""white"",""Length"":""35""},
  {""Type"":""chiffon"",""Finish"":""shimmer"",""Color"":""gold"",""Length"":""50""}
]"
https://imageswedding.theweddingcompany.com/bh_prod_bucket/watermark_assets/ideabook/7948E619-4797-4541-AEE7-CBF564C1603C.jpeg,"[
  {""Type"":""chiffon"",""Finish"":""plain"",""Color"":""peach"",""Length"":""28""},
  {""Type"":""chiffon"",""Finish"":""plain"",""Color"":""ivory"",""Length"":""24""},
  {""Type"":""satin"",""Finish"":""pleatable"",""Color"":""red"",""Length"":""12""},
  {""Type"":""chiffon"",""Finish"":""plain"",""Color"":""pink"",""Length"":""6""},
  {""Type"":""chiffon"",""Finish"":""plain"",""Color"":""yellow"",""Length"":""6""},
  {""Type"":""long table overlay"",""Finish"":""shimmer"",""Color"":""red"",""Length"":""6""},
  {""Type"":""long table overlay"",""Finish"":""shimmer"",""Color"":""Fuchsia pink"",""Length"":""3""}
]"
